dataset-heading,dataset-heading href,dataset-content,label 2,label 3,label href 3
Sistema de Gestão da Transmissão - SIGET,https://dadosabertos.aneel.gov.br/dataset/sistema-de-gestao-da-transmissao-siget,"A expansão da rede básica de transmissão de energia elétrica tem seu planejamento centralizado. O Ministério de Minas e Energia — MME, a partir dos estudos técnicos elaborados...",CSV,,
SIGA - Sistema de Informações de Geração da ANEEL,https://dadosabertos.aneel.gov.br/dataset/siga-sistema-de-informacoes-de-geracao-da-aneel,"Este é o novo conjunto de dados extraídos do SIGA (banco de dados do Sistema de Informações de Geração da ANEEL), que contém as informações dos empreendimentos de geração de...",CSV,XML,https://dadosabertos.aneel.gov.br/dataset/siga-sistema-de-informacoes-de-geracao-da-aneel
Ouvidoria Setorial ANEEL,https://dadosabertos.aneel.gov.br/dataset/ouvidoria-setorial-aneel,A Ouvidoria Setorial apoia os consumidores na busca pela conciliação com a distribuidora em questões relacionadas à prestação do serviço público de energia elétrica. É um canal...,CSV,,
Componentes Tarifárias,https://dadosabertos.aneel.gov.br/dataset/componentes-tarifarias,"Apresenta os valores das Tarifas de Energia - TE e das Tarifas de Uso do Sistema de Distribuição - TUSD, resultantes dos processos de reajustes tarifários das distribuidoras de...",CSV,,
SIGEC - Sistema de Gestão de Créditos,https://dadosabertos.aneel.gov.br/dataset/sigec-sistema-de-gestao-de-creditos,"O Sistema de Gestão de Créditos (SIGEC) foi desenvolvido em meados de 2005 com a finalidade de viabilizar uma melhor gestão dos créditos arrecadados pela ANEEL, em especial as...",CSV,,
Reclamações no 1° e 2° nível da Distribuidora,https://dadosabertos.aneel.gov.br/dataset/reclamacoes-no-1o-e-2o-niveis-da-distribuidora,"Quantidade de reclamações dos consumidores em relação à distribuidora, por tipologia, no 1o nível e no 2o nível (Ouvidoria) de atendimento de reclamações da distribuidora, de...",CSV,,
Pautas e Atas das Reuniões Publicas da Diretoria,https://dadosabertos.aneel.gov.br/dataset/pautas-e-atas-das-reunioes-publicas-da-diretoria,"A pauta tem a finalidade de comunicar à sociedade os assuntos que serão deliberados pela Diretoria, informando a data, a hora e o local da Reunião Pública.
A ata é o documento...",CSV,,
RALIE – Relatório de Acompanhamento da Expansão da Oferta de Geração de Energ...,https://dadosabertos.aneel.gov.br/dataset/ralie-relatorio-de-acompanhamento-da-expansao-da-oferta-de-geracao-de-energia-eletrica,"O acompanhamento da expansão da oferta de geração de energia elétrica abrange todos os empreendimentos em implantação no território nacional, qualquer que seja a fonte de...",CSV,,
Liberação para operação comercial de empreendimentos de geração,https://dadosabertos.aneel.gov.br/dataset/liberacao-para-operacao-comercial-de-empreendimentos-de-geracao,"Este conjunto de dados reflete a listagem de capacidade instalada liberada para operação comercial.
Estão disponíveis dois arquivos de dados:


o...",CSV,XML,https://dadosabertos.aneel.gov.br/dataset/liberacao-para-operacao-comercial-de-empreendimentos-de-geracao
Tarifas de aplicação das distribuidoras de energia elétrica,https://dadosabertos.aneel.gov.br/dataset/tarifas-distribuidoras-energia-eletrica,"Apresenta os valores das Tarifas de Energia - TE e das Tarifas de Uso do Sistema de Distribuição - TUSD, resultantes dos processos de reajustes tarifários das distribuidoras de...",CSV,XML,https://dadosabertos.aneel.gov.br/dataset/tarifas-distribuidoras-energia-eletrica
SAMP - Sistema de Acompanhamento de Informações de Mercado para Regulação Eco...,https://dadosabertos.aneel.gov.br/dataset/samp,"Informações do mercado de energia elétrica, declaradas pelas concessionárias e permissionárias de distribuição, conforme critérios definidos na RESOLUÇÃO NORMATIVA ANEEL Nº...",CSV,,
SAMP - Balanço,https://dadosabertos.aneel.gov.br/dataset/samp-balanco,"Balanço energético: conjunto de informações da quantidade de energia elétrica, detalhadas pelas disponibilidades e pelos requisitos do mercado de energia elétrica declarados...",CSV,,
